codigo;produto;quantidade;ref;preco
3781;PEPPA COM ATIVIDADES - PEPPA PIG;2;1097;94.9
16069;JOGO TRIOMINOS JUNIOR;0;1337;79.9
3782;ENCAIXE COR - TOY STORY BABY;0;1104;59.9
3783;JOGO LAN«A BOLINHAS - PATRULHA CANINA;0;1112;89.9
3784;JOGO LAN«A GARFINHO - TOY STORY 4;0;1113;59.9
3785;JOGO TIRA VARETAS - LUCCAS NETO;2;1114;99.9
14537;BLUEY;0;1249;99.9
3786;JOGO AVALANCHE - LUCCAS NETO;0;1115;84.9
14538;JOGO BATALHA DAS ESFERAS - DRAGON BALL Z;1;1265;84.9
3787;ENCAIXE COR - BABY SHARK;0;1130;74.9
14539;SPLASH MANIA - PATRULHA CANINA;3;1275;94.9
3788;FOFO BLOCOS 15 PE«AS - BABY SHARK;0;1132;69.9
14540;SPLASH MANIA PRINCESA;1;1281;94.9
3789;ANNA - FROZEN;0;948;79.9
14541;JOGO TRIO DRAGON BALL Z;1;1283;49.9
3790;MINNIE PATINADORA;2;950;149.9
14542;JOGO DA MEMORIA BLUEY;0;1285;39.9
3791;SMARTPHONE SONORO;0;967;39.9
14543;STITCH;1;1288;99.9
14544;ARTS KIT PINTURA - SKYE;4;1289;79.9
8401;BONECO NARUTO UZUMAKI CHIBI - NARUTO SHIPPUDEN;0;1186;89.9
14545;ANGEL;0;1290;99.9
8402;BONECO NARUTO UZUMAKI - NARUTO SHIPPUDEN;0;1187;79.9
14546;PUXA ESPINHO STITCH;0;1297;99.9
215;TAXI MALUCO ;0;528;59.9
9943;CAC√Å - MEXE PERNINHAS;2;1210;89.9
8152;CHOCALHO & MORDEDOR GIRA-GIRA;0;968;22.9
9944;JOGO RANK MARVEL UNIVERSE;0;1216;79.9
8153;PUZZLE PLAY 20 PCS LENTE MAGICA - COCOMELON;0;1200;39.9
9945;SKIN MONKEY D. LUFFY - ONE PIECE;0;1224;119.9
8154;PUZZLE PLAY DINOSSAUROS 100 PE√áAS LENTE M√ÅGICA - MANUAL DO MUNDO;0;1198;36.9
9946;PUZZLE PLAY 200 PCS - ONE PIECE;0;1225;49.9
8155;MONTA PALAVRAS TRILINGUE;0;1205;44.9
8156;LAGARTIXO - PJMASKS;0;1206;74.9
8157;ENCAIXE FORMAS - GALINHA PINTADINHA MINI;0;1207;84.9
8158;ACHE ENCAIXE 4. 6 E 8 PE√áAS - COCOMELON;0;1201;39.9
6391;BONECO GALINHA PINTADINHA;3;1127;69.9
4088;HORA DO PIC NIC - BABY ALIVE;0;1007;69.9
6392;MEU AMIGO WOODY;7;1134;149.9
4089;FOFOBUS - 14 PE«AS;0;1089;99.9
6393;ENCAIXE FORMAS - ONCINHA PINTADA;0;1140;59.9
4090;ROBOTZ - MONTE SEU ROB‘;0;1096;59.9
6394;ELK√?O - QUER PASSEAR!;0;1122;109.9
4091;GEORGE COM ATIVIDADES - PEPPA PIG;6;1098;94.9
6395;MATRIOSKA - BICHITOS;0;1148;69.9
9723;FOFO BLOCOS - COCOMELON;0;1213;99.9
4092;CHOCALHO & MORDEDOR GIRA GIRA - BABY SHARK;0;1129;19.9
9724;DOUTOR (A) OLHINHOS;0;1180;89.9
4093;RODA PI√O - BABY SHARK;0;1131;59.9
9725;FASHION BIJU - L.O.L. SUPRISE;0;1195;39.9
4094;JOGO TIRA VARETAS - FROZEN 2;1;1133;99.9
9726;JOGO TERREMOTO - SPIDEY;0;1217;94.9
4095;MONTA PALAVRAS;5;769;69.9
9727;JOGO TIRA VARETAS - PATRULHA CANINA;1;1222;99.9
